,ID,inchikey,sdftitle,order,set,CVfold,NR.AhR,NR.AR,NR.AR.LBD,NR.Aromatase,NR.ER,NR.ER.LBD,NR.PPAR.gamma,SR.ARE,SR.ATAD5,SR.HSE,SR.MMP,SR.p53
19,NCGC00091112-09,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,NCGC00091112-09,19,training,,,,,,,,,,,1.0,,
20,NCGC00167436-02,ZKFQEACEUNWPMT-UHFFFAOYSA-N,NCGC00167436-02,20,training,,,,,,,,,1.0,,,,
21,NCGC00177980-03,WVNOAGNOIPTWPT-NDUABGMUSA-N,NCGC00177980-03,21,training,0.0,,,,,,,,,,1.0,,
22,NCGC00179665-04,POZRVZJJTULAOH-LHZXLZLDSA-N,NCGC00179665-04,22,training,,,,,,,,,,,0.0,,
23,NCGC00344566-01,RRFQFDMDZFLXRY-GTQYJQEFSA-N,NCGC00344566-01,23,training,,,,,,,,,0.0,,,,
24,NCGC00015959-09,INVGWHRKADIJHF-UHFFFAOYSA-N,NCGC00015959-09,24,training,,,,,,,,,,,1.0,,
25,NCGC00017112-10,MBRHNTMUYWQHMR-UHFFFAOYSA-N,NCGC00017112-10,25,training,3.0,,,,,,,,,,1.0,,
26,NCGC00015747-09,ZBBHBTPTTSWHBA-UHFFFAOYSA-N,NCGC00015747-09,26,training,,,,,,,,,,,1.0,,
27,NCGC00167493-04,JINNGBXKBDUGQT-UHFFFAOYSA-N,NCGC00167493-04,27,training,,,,,,,,,,,0.0,,
28,NCGC00273481-01,RSXZRFHNNTTWCB-UHFFFAOYSA-N,NCGC00273481-01,28,training,,,,,,,,,,,0.0,,
29,NCGC00161831-04,WESWYMRNZNDGBX-YLCXCWDSSA-N,NCGC00161831-04,29,training,,,,,,,,,,,0.0,,
30,NCGC00015889-11,BKXVVCILCIUCLG-UHFFFAOYSA-N,NCGC00015889-11,30,training,,,,,,,,,,,0.0,,
31,NCGC00159424-04,REQPQFUJGGOFQL-UHFFFAOYSA-N,NCGC00159424-04,31,training,,,,,,,,,,,1.0,,
32,NCGC00091563-12,KUAZQDVKQLNFPE-UHFFFAOYSA-N,NCGC00091563-12,32,training,,,,,,,,,,,1.0,,
33,NCGC00015273-19,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,NCGC00015273-19,33,training,,,,,,,,,,,0.0,,
34,NCGC00257649-01,GXDALQBWZGODGZ-UHFFFAOYSA-N,NCGC00257649-01,34,training,,,0.0,,,,,,,,,,
35,NCGC00262909-01,XDVCLKFLRAWGIT-ADOAZJKMSA-N,NCGC00262909-01,35,training,,,,,,,,,,,0.0,,
36,NCGC00096056-02,NYEPHMYJRNWPLA-UHFFFAOYSA-N,NCGC00096056-02,36,training,1.0,,,,,,,,,,1.0,,
37,NCGC00262929-01,KSGXQBZTULBEEQ-UHFFFAOYSA-N,NCGC00262929-01,37,training,,,,,,,,,,,0.0,,
38,NCGC00159441-03,OBATZBGFDSVCJD-LALPQLPRSA-N,NCGC00159441-03,38,training,,,,,,,,,,,0.0,,
39,NCGC00142623-04,WDJUZGPOPHTGOT-XUDUSOBPSA-N,NCGC00142623-04,39,training,,,,,,,,,,,0.0,,
40,NCGC00344555-01,MYEJFUXQJGHEQK-ALRJYLEOSA-N,NCGC00344555-01,40,training,,,,,,,,,,,0.0,,
41,NCGC00016258-06,MJVAVZPDRWSRRC-UHFFFAOYSA-N,NCGC00016258-06,41,training,,,,,,,,,1.0,,,,
42,NCGC00159476-09,KVSKGMLNBAPGKH-UHFFFAOYSA-N,NCGC00159476-09,42,training,,,,,,,,,,,1.0,,
43,NCGC00160275-03,ABLACSIRCKEUOB-UHFFFAOYSA-N,NCGC00160275-03,43,training,,,,,,,,,,,0.0,,
44,NCGC00166120-02,VUFOSBDICLTFMS-UHFFFAOYSA-M,NCGC00166120-02,44,training,,,,,,,,,1.0,,,,
45,NCGC00016373-08,UREZNYTWGJKWBI-UHFFFAOYSA-M,NCGC00016373-08,45,training,,,,,,,,,1.0,,,,
46,NCGC00016789-06,WYWSKWZUWZLELX-UHFFFAOYSA-M,NCGC00016789-06,46,training,,,,,,,,,1.0,,,,
47,NCGC00018250-06,CRKGMGQUHDNAPB-UHFFFAOYSA-N,NCGC00018250-06,47,training,0.0,,,,,,,,,,1.0,,
48,NCGC00253588-01,UIVFUQKYVFCEKJ-OPTOVBNMSA-N,NCGC00253588-01,48,training,,,,,,,,,,,1.0,,
49,NCGC00015096-17,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,NCGC00015096-17,49,training,,,,,,,,,0.0,,,,
50,NCGC00161420-06,MTJLQTFHJIHXIX-GDUXWEAWSA-N,NCGC00161420-06,50,training,,,,,,,,,,,0.0,,
51,NCGC00260347-01,NZFNXWQNBYZDAQ-UHFFFAOYSA-N,NCGC00260347-01,51,training,,,0.0,,,,,,,,,,
52,NCGC00166070-02,JZGHZXCZUAJOSA-UHFFFAOYSA-N,NCGC00166070-02,52,training,,,,,,,,,,,0.0,,
53,NCGC00167430-04,QXHHHPZILQDDPS-UHFFFAOYSA-N,NCGC00167430-04,53,training,,,,,,,,,,,1.0,,
54,NCGC00016710-05,PMGQWSIVQFOFOQ-YKVZVUFRSA-N,NCGC00016710-05,54,training,,,,,,,,,,,0.0,,
55,NCGC00016059-13,KLBQZWRITKRQQV-UHFFFAOYSA-N,NCGC00016059-13,55,training,,,,,,,,,,,0.0,,
56,NCGC00161621-03,YVPXVXANRNDGTA-WDYNHAJCSA-N,NCGC00161621-03,56,training,,,,,,,,,,,0.0,,
57,NCGC00162179-08,NJMYODHXAKYRHW-DVZOWYKESA-N,NCGC00162179-08,57,training,,,,,,,,,,,0.0,,
58,NCGC00181782-03,GZKLJWGUPQBVJQ-UHFFFAOYSA-N,NCGC00181782-03,58,training,,,,,,,,,,,0.0,,
59,NCGC00263542-01,IZSFDUMVCVVWKW-UHFFFAOYSA-N,NCGC00263542-01,59,training,,,,,,,,,,,0.0,,
60,NCGC00167547-02,HZLCGUXUOFWCCN-UHFFFAOYSA-N,NCGC00167547-02,60,training,,,,,,,,,0.0,,,,
61,NCGC00164631-05,GFZBJFWXHCSNPX-HBPAQXCTSA-N,NCGC00164631-05,61,training,3.0,,,,,,,,,,0.0,,
62,NCGC00166245-04,YADYXCVYLIKQJX-UHFFFAOYSA-N,NCGC00166245-04,62,training,4.0,,,,,,,,,,0.0,,
63,NCGC00253592-01,ZJTLZYDQJHKRMQ-UHFFFAOYSA-N,NCGC00253592-01,63,training,,,,,,,,,,,1.0,,
64,NCGC00181767-03,MIQPIUSUKVNLNT-UHFFFAOYSA-N,NCGC00181767-03,64,training,,,,,,,,,,,0.0,,
65,NCGC00016345-08,HSHNITRMYYLLCV-UHFFFAOYSA-N,NCGC00016345-08,65,training,,,,,,,,,0.0,,,,
66,NCGC00164283-07,LZZYPRNAOMGNLH-UHFFFAOYSA-M,NCGC00164283-07,66,training,,,,,,,,,,,0.0,,
67,NCGC00187943-02,YLPZVNXGKBIJBW-UHFFFAOYSA-M,NCGC00187943-02,67,training,0.0,,,,,,,,,,0.0,,
68,NCGC00166247-02,QWYZFXLSWMXLDM-UHFFFAOYSA-M,NCGC00166247-02,68,training,,,,,,,,,1.0,,,,
69,NCGC00179596-03,ZHPWRQIPPNZNML-UHFFFAOYSA-N,NCGC00179596-03,69,training,0.0,,,,,,,,,,1.0,,
70,NCGC00166146-02,PWZUUYSISTUNDW-VAFBSOEGSA-N,NCGC00166146-02,70,training,,,,,,,,,,,0.0,,
71,NCGC00261967-01,SBQAKZYUNWNIRL-WIPKXTQKSA-N,NCGC00261967-01,71,training,,,,,,,,,,,0.0,,
72,NCGC00018254-08,OCAPBUJLXMYKEJ-UHFFFAOYSA-N,NCGC00018254-08,72,training,,,,,,,,,,,1.0,,
73,NCGC00182055-03,OMZAMQFQZMUNTP-UHFFFAOYSA-N,NCGC00182055-03,73,training,,,,,,,,,0.0,,,,
74,NCGC00166290-03,ONJQDTZCDSESIW-UHFFFAOYSA-N,NCGC00166290-03,74,training,,,,,,,,,1.0,,,,
75,NCGC00167490-03,DYLGFOYVTXJFJP-MYYYXRDXSA-N,NCGC00167490-03,75,training,,,,,,,,,,,0.0,,
76,NCGC00016622-08,MFZWMTSUNYWVBU-UHFFFAOYSA-N,NCGC00016622-08,76,training,,,,,,,,,,,0.0,,
77,NCGC00015838-06,ZFWVWZODBGTOIL-UHFFFAOYSA-N,NCGC00015838-06,77,training,,,,,,,,,,,0.0,,
78,NCGC00025187-02,ZWHRZGHGYMUSRM-VWDRLOGHSA-N,NCGC00025187-02,78,training,,,,,,,,,,,0.0,,
79,NCGC00186653-01,BXDAOUXDMHXPDI-UHFFFAOYSA-N,NCGC00186653-01,79,training,,,,,,,,,,,0.0,,
80,NCGC00025302-02,JFPPLMAMMZZOEA-UHFFFAOYSA-N,NCGC00025302-02,80,training,,,,,,,,,,,1.0,,
81,NCGC00262908-01,POPOYOKQQAEISW-UHFFFAOYSA-N,NCGC00262908-01,81,training,,,,,,,,,,,1.0,,
82,NCGC00015619-13,JCCNYMKQOSZNPW-UHFFFAOYSA-N,NCGC00015619-13,82,training,,,,,,,,,1.0,,,,
83,NCGC00179642-03,MPIPASJGOJYODL-UHFFFAOYSA-N,NCGC00179642-03,83,training,,,,,,,,,,,1.0,,
84,NCGC00013683-06,WSPOMRSOLSGNFJ-VGOFMYFVSA-N,NCGC00013683-06,84,training,,,,,,,,,,,0.0,,
85,NCGC00015563-13,BCGWQEUPMDMJNV-UHFFFAOYSA-N,NCGC00015563-13,85,training,,,,,,,,,,,0.0,,
86,NCGC00179536-02,JQXXHWHPUNPDRT-WLSIYKJHSA-N,NCGC00179536-02,86,training,2.0,,,,,,,,,,0.0,,
87,NCGC00160483-02,DOUQJBPSTIKRPH-UHFFFAOYSA-N,NCGC00160483-02,87,training,,,,,,,,,,,0.0,,
88,NCGC00016913-14,GXDALQBWZGODGZ-UHFFFAOYSA-N,NCGC00016913-14,88,training,,,,,,,,,,,0.0,,
89,NCGC00167729-03,ILNRQFBVVQUOLP-UHFFFAOYSA-N,NCGC00167729-03,89,training,,,,,,,,,1.0,,,,
90,NCGC00015856-10,DSKIOWHQLUWFLG-SPIKMXEPSA-N,NCGC00015856-10,90,training,,,,,,,,,,,0.0,,
91,NCGC00181016-04,NAVMQTYZDKMPEU-UHFFFAOYSA-N,NCGC00181016-04,91,training,,,,,,,,,,,1.0,,
92,NCGC00274067-01,XDXWLKQMMKQXPV-HPNDGRJYSA-N,NCGC00274067-01,92,training,,,,,,,,,,,1.0,,
93,NCGC00263543-01,OGWKCGZFUXNPDA-XQKSVPLYSA-N,NCGC00263543-01,93,training,,,,,,,,,,,0.0,,
94,NCGC00263581-01,ICMWWNHDUZJFDW-DHODBPELSA-N,NCGC00263581-01,94,training,,,,,,,,,1.0,,,,
95,NCGC00095264-04,WDFKMLRRRCGAKS-UHFFFAOYSA-N,NCGC00095264-04,95,training,,,,,,,,,,,1.0,,
96,NCGC00253604-01,MMUMZMIKZXSFSD-ADSVITMPSA-N,NCGC00253604-01,96,training,,,,,,,,,,,0.0,,
97,NCGC00025349-05,VMWNQDUVQKEIOC-CYBMUJFWSA-N,NCGC00025349-05,97,training,,,,,,,,,1.0,,,,
98,NCGC00344543-01,KMSKQZKKOZQFFG-YXRRJAAWSA-N,NCGC00344543-01,98,training,,,,,,,,,,,0.0,,
99,NCGC00015826-13,RGCVKNLCSQQDEP-UHFFFAOYSA-N,NCGC00015826-13,99,training,,,,,,,,,,,0.0,,
101,NCGC00018258-10,DDXORDQKGIZAME-UHFFFAOYSA-N,NCGC00018258-10,101,training,0.0,,,,,,,,,,1.0,,
102,NCGC00179676-03,YNVGQYHLRCDXFQ-JBKQDOAHSA-N,NCGC00179676-03,102,training,1.0,,,,,,,,1.0,,,,
103,NCGC00095169-05,PQLXHQMOHUQAKB-UHFFFAOYSA-N,NCGC00095169-05,103,training,,,,,,,,,,,0.0,,
104,NCGC00249921-01,JMFOSJNGKJCTMJ-ZHZULCJRSA-N,NCGC00249921-01,104,training,,,,,,,,,,,1.0,,
105,NCGC00344561-01,KIQQMECNKUGGKA-NMYWJIRASA-N,NCGC00344561-01,105,training,,,,,,,,,0.0,,,,
106,NCGC00181129-06,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,NCGC00181129-06,106,training,,,,,,,,,,,0.0,,
107,NCGC00095196-06,MPMFCABZENCRHV-UHFFFAOYSA-N,NCGC00095196-06,107,training,,,,,,,,,,,0.0,,
108,NCGC00159449-04,WHLUQAYNVOGZST-UHFFFAOYSA-N,NCGC00159449-04,108,training,,,,,,,,,0.0,,,,
109,NCGC00161602-06,RUYHIJHUVHIMIR-CVHRZJFOSA-N,NCGC00161602-06,109,training,4.0,,,,,,,,,,0.0,,
110,NCGC00017323-08,XMEVHPAGJVLHIG-FMZCEJRJSA-N,NCGC00017323-08,110,training,4.0,,,,,,,,,,0.0,,
111,NCGC00262926-01,FIAGYDIJZOWVAB-UHFFFAOYSA-N,NCGC00262926-01,111,training,,,,,,,,,,,1.0,,
112,NCGC00166142-04,OWULVAZDMWJBLB-UHFFFAOYSA-N,NCGC00166142-04,112,training,,,,,,,,,,,0.0,,
113,NCGC00165740-05,VPSRQEHTHIMDQM-FKLPMGAJSA-N,NCGC00165740-05,113,training,,,,,,,,,,,1.0,,
114,NCGC00091195-08,ACGUYXCXAPNIKK-UHFFFAOYSA-N,NCGC00091195-08,114,training,,,,,,,,,,,1.0,,
115,NCGC00160556-02,NEMNPWINWMHUMR-UHFFFAOYSA-N,NCGC00160556-02,115,training,,,,,,,,,,,1.0,,
116,NCGC00159417-05,XEFQLINVKFYRCS-UHFFFAOYSA-N,NCGC00159417-05,116,training,,,,,,,,,,,1.0,,
117,NCGC00164034-05,ICUTUKXCWQYESQ-UHFFFAOYSA-N,NCGC00164034-05,117,training,,,,,,,,,,,0.0,,
118,NCGC00164581-02,FRPJXPJMRWBBIH-RBRWEJTLSA-N,NCGC00164581-02,118,training,,,,,,,,,,,0.0,,
119,NCGC00015254-20,QZUDBNBUXVUHMW-UHFFFAOYSA-N,NCGC00015254-20,119,training,,,,,,,,,,,0.0,,
120,NCGC00024778-02,QSQQPMHPCBLLGX-UHFFFAOYSA-N,NCGC00024778-02,120,training,,,,,,,,,,,0.0,,
121,NCGC00024379-16,AUVVAXYIELKVAI-CKBKHPSWSA-N,NCGC00024379-16,121,training,,,,,,,,,,,0.0,,
122,NCGC00163468-05,NWIBSHFKIJFRCO-WUDYKRTCSA-N,NCGC00163468-05,122,training,,,,,,,,,,,0.0,,
123,NCGC00025060-15,FBOZXECLQNJBKD-ZDUSSCGKSA-N,NCGC00025060-15,123,training,1.0,,,,,,,,,,0.0,,
124,NCGC00263568-01,CILBMBUYJCWATM-UDRBCWGGSA-N,NCGC00263568-01,124,training,,,,,,,,,,,0.0,,
125,NCGC00016786-15,HPNSFSBZBAHARI-RUDMXATFSA-N,NCGC00016786-15,125,training,,,,,,,,,,,0.0,,
126,NCGC00091120-13,DDUHZTYCFQRHIY-RBHXEPJQSA-N,NCGC00091120-13,126,training,1.0,,,,,,,,,,0.0,,
127,NCGC00169964-05,YPHMISFOHDHNIV-FSZOTQKASA-N,NCGC00169964-05,127,training,,,,,,,,,,,0.0,,
128,NCGC00263539-01,MVWVFYHBGMAFLY-UHFFFAOYSA-N,NCGC00263539-01,128,training,,,,,,,,,0.0,,,,
129,NCGC00015774-06,BAINIUMDFURPJM-UHFFFAOYSA-N,NCGC00015774-06,129,training,,,,,,,,,,,0.0,,
130,NCGC00015718-12,HRRBJVNMSRJFHQ-UHFFFAOYSA-N,NCGC00015718-12,130,training,,,,,,,,,,,0.0,,
131,NCGC00160566-02,BNACJQWJZKPAPV-UHFFFAOYSA-N,NCGC00160566-02,131,training,,,,,,,,,,,1.0,,
132,NCGC00160554-02,RPAJWWXZIQJVJF-UHFFFAOYSA-N,NCGC00160554-02,132,training,,,,,,,,,,,1.0,,
133,NCGC00258497-01,TXUZVZSFRXZGTL-QPLCGJKRSA-N,NCGC00258497-01,133,training,,,0.0,,1.0,,,,,,,,
134,NCGC00159458-05,FQCKMBLVYCEXJB-MNSAWQCASA-L,NCGC00159458-05,134,training,2.0,,,,,,,,,,0.0,,
135,NCGC00160590-03,NPUZIGSOEWMFKK-UHFFFAOYSA-N,NCGC00160590-03,135,training,,,,,,,,,,,0.0,,
136,NCGC00263480-01,PSGAAPLEWMOORI-PEINSRQWSA-N,NCGC00263480-01,136,training,1.0,,,,,,,,,,0.0,,
137,NCGC00163125-06,ORNBQBCIOKFOEO-QGVNFLHTSA-N,NCGC00163125-06,137,training,1.0,,,,,,,,,,0.0,,
138,NCGC00164139-03,IYAZLDLPUNDVAG-UHFFFAOYSA-N,NCGC00164139-03,138,training,4.0,,,,,,,,,,0.0,,
139,NCGC00017324-07,RYMZZMVNJRMUDD-HGQWONQESA-N,NCGC00017324-07,139,training,,,,,,,,,1.0,,,,
140,NCGC00159462-04,NCDNCNXCDXHOMX-XGKFQTDJSA-N,NCGC00159462-04,140,training,,,,,,,,,,,0.0,,
141,NCGC00182059-03,BQSJTQLCZDPROO-UHFFFAOYSA-N,NCGC00182059-03,141,training,,,,,,,,,,,0.0,,
142,NCGC00015155-11,UIEATEWHFDRYRU-UHFFFAOYSA-N,NCGC00015155-11,142,training,,,,,,,,,,,0.0,,
143,NCGC00167500-02,HQMNCQVAMBCHCO-DJRRULDNSA-N,NCGC00167500-02,143,training,,,,,,,,,,,1.0,,
144,NCGC00091585-05,FMJSMJQBSVNSBF-UHFFFAOYSA-N,NCGC00091585-05,144,training,0.0,,,,,,,,,,0.0,,
145,NCGC00182850-02,JRTIDHTUMYMPRU-UHFFFAOYSA-N,NCGC00182850-02,145,training,,,,,,,,,,,0.0,,
146,NCGC00262942-01,NFYYMNADTASPEE-UHFFFAOYSA-N,NCGC00262942-01,146,training,,,,,,,,,,,0.0,,
147,NCGC00178069-05,UNPLRYRWJLTVAE-UHFFFAOYSA-N,NCGC00178069-05,147,training,,,,,,,,,,,0.0,,
148,NCGC00250401-02,LGMSNQNWOCSPIK-LWHGMNCYSA-N,NCGC00250401-02,148,training,,,,,,,,,,,0.0,,
149,NCGC00182060-03,JMUPNNYLJGSMPK-JPJJPTBZSA-N,NCGC00182060-03,149,training,,,,,,,,,1.0,,,,
150,NCGC00178369-05,NLOALSPYZIIXEO-UHFFFAOYSA-N,NCGC00178369-05,150,training,,,,,,,,,0.0,,,,
151,NCGC00016246-09,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,NCGC00016246-09,151,training,,,,,,,,,,,0.0,,
152,NCGC00253658-01,USRHYDPUVLEVMC-FQEVSTJZSA-N,NCGC00253658-01,152,training,,,,,,,,,,,0.0,,
153,NCGC00164483-03,LOCIGFDPZFJXFT-UHFFFAOYSA-N,NCGC00164483-03,153,training,,,,,,,,,,,0.0,,
154,NCGC00160412-04,YKWQHMLRAPIWDP-UHFFFAOYSA-N,NCGC00160412-04,154,training,,,,,,,,,,,0.0,,
155,NCGC00022001-13,YJGVMLPVUAXIQN-XVVDYKMHSA-N,NCGC00022001-13,155,training,,,,,,,,,,,0.0,,
156,NCGC00091250-12,QEVHRUUCFGRFIF-MDEJGZGSSA-N,NCGC00091250-12,156,training,,,,,,,,,,,0.0,,
157,NCGC00319019-01,CTMCWCONSULRHO-WQKZQJHCSA-N,NCGC00319019-01,157,training,,,,,,,,,,,0.0,,
158,NCGC00159456-11,YLMAHDNUQAMNNX-UHFFFAOYSA-N,NCGC00159456-11,158,training,,,,,,,,,,,0.0,,
159,NCGC00018158-09,VJECBOKJABCYMF-UHFFFAOYSA-N,NCGC00018158-09,159,training,1.0,,,,,,,,,,0.0,,
160,NCGC00094574-15,ZOCSXAVNDGMNBV-UHFFFAOYSA-N,NCGC00094574-15,160,training,,,,,,,,,,,0.0,,
161,NCGC00262950-01,RBGAHDDQSRBDOG-UHFFFAOYSA-N,NCGC00262950-01,161,training,,,,,,,,,,,0.0,,
162,NCGC00160408-03,CZCHIEJNWPNBDE-UHFFFAOYSA-N,NCGC00160408-03,162,training,,,,,,,,,,,1.0,,
163,NCGC00095082-06,OIRFJRBSRORBCM-UHFFFAOYSA-N,NCGC00095082-06,163,training,2.0,,,,,,,,,,0.0,,
164,NCGC00091455-09,RZEKVGVHFLEQIL-UHFFFAOYSA-N,NCGC00091455-09,164,training,,,,,,,,,,,0.0,,
165,NCGC00319023-02,PYZOVVQJTLOHDG-FQEVSTJZSA-N,NCGC00319023-02,165,training,,,,,,,,,,,0.0,,
166,NCGC00160665-02,GZIISXIDAZYOLI-UHFFFAOYSA-N,NCGC00160665-02,166,training,,,,,,,,,1.0,,,,
167,NCGC00249916-01,HZTMGWSBSDLALI-UHFFFAOYSA-N,NCGC00249916-01,167,training,,,,,,,,,0.0,,,,
168,NCGC00160648-02,VBIZUNYMJSPHBH-OQLLNIDSSA-N,NCGC00160648-02,168,training,,,,,,,,,0.0,,,,
169,NCGC00168085-05,WAEXFXRVDQXREF-UHFFFAOYSA-N,NCGC00168085-05,169,training,,,,,,,,,,,0.0,,
170,NCGC00160373-02,QGMGHALXLXKCBD-UHFFFAOYSA-N,NCGC00160373-02,170,training,,,,,,,,,,,0.0,,
171,NCGC00178737-05,AJZJIYUOOJLBAU-ZYIUJVGZSA-N,NCGC00178737-05,171,training,,,,,,,,,,,0.0,,
172,NCGC00263572-01,BOFQWVMAQOTZIW-UHFFFAOYSA-N,NCGC00263572-01,172,training,,,,,,,,,,,0.0,,
173,NCGC00015360-08,QPCDCPDFJACHGM-UHFFFAOYSA-N,NCGC00015360-08,173,training,,,,,,,,,,,0.0,,
174,NCGC00016876-12,HXHWSAZORRCQMX-UHFFFAOYSA-N,NCGC00016876-12,174,training,,,,,,,,,,,1.0,,
175,NCGC00017257-14,WZHJKEUHNJHDLS-QTGUNEKASA-N,NCGC00017257-14,175,training,,,,,,,,,,,0.0,,
176,NCGC00262533-02,WYJAPUKIYAZSEM-MOPGFXCFSA-N,NCGC00262533-02,176,training,,,,,,,,,,,0.0,,
177,NCGC00164590-02,METQSPRSQINEEU-HXCATZOESA-N,NCGC00164590-02,177,training,,,,,,,,,,,0.0,,
178,NCGC00159544-03,HTGCJAAPDHZCHL-UHFFFAOYSA-N,NCGC00159544-03,178,training,,,,,,,,,,,0.0,,
179,NCGC00025212-08,DHZBEENLJMYSHQ-OBDNUKKESA-N,NCGC00025212-08,179,training,,,,,,,,,,,0.0,,
180,NCGC00263565-01,SIGSPDASOTUPFS-XUDSTZEESA-N,NCGC00263565-01,180,training,,,,,,,,,,,0.0,,
181,NCGC00163778-09,XVTXMTOYQVRHSK-UHFFFAOYSA-N,NCGC00163778-09,181,training,,,,,,,,,,,1.0,,
182,NCGC00263548-01,KDQAABAKXDWYSZ-PNYVAJAMSA-N,NCGC00263548-01,182,training,,,,,,,,,,,0.0,,
183,NCGC00016765-09,HUPFGZXOMWLGNK-UHFFFAOYSA-N,NCGC00016765-09,183,training,,,,,,,,,,,0.0,,
184,NCGC00253742-01,JCLHQFUTFHUXNN-UHFFFAOYSA-N,NCGC00253742-01,184,training,,,,,,,,,,,0.0,,
185,NCGC00188346-02,MFAQYJIYDMLAIM-UHFFFAOYSA-N,NCGC00188346-02,185,training,,,,,,,,,,,0.0,,
186,NCGC00091532-06,NCKMMSIFQUPKCK-UHFFFAOYSA-N,NCGC00091532-06,186,training,,,,,,,,,,,0.0,,
187,NCGC00164625-04,GPUADMRJQVPIAS-QCVDVZFFSA-M,NCGC00164625-04,187,training,,,,,,,,,,,0.0,,
188,NCGC00091183-04,BSWWXRFVMJHFBN-UHFFFAOYSA-N,NCGC00091183-04,188,training,3.0,,,,,,,,,,0.0,,
189,NCGC00249891-01,NUNIWXHYABYXKF-UHFFFAOYSA-N,NCGC00249891-01,189,training,,,,,,,,,,,0.0,,
190,NCGC00094561-06,SBNFWQZLDJGRLK-UHFFFAOYSA-N,NCGC00094561-06,190,training,1.0,,,,,,,,,,0.0,,
191,NCGC00023064-05,FRQMUZJSZHZSGN-HBNHAYAOSA-N,NCGC00023064-05,191,training,,,,,,,,,,,0.0,,
192,NCGC00024246-15,STQGQHZAVUOBTE-VGBVRHCVSA-N,NCGC00024246-15,192,training,,,,,,,,,,,0.0,,
193,NCGC00165767-04,GVOUFPWUYJWQSK-UHFFFAOYSA-N,NCGC00165767-04,193,training,,,,,,,,,1.0,,,,
194,NCGC00263521-01,FBHSPRKOSMHSIF-GRMWVWQJSA-N,NCGC00263521-01,194,training,,,,,,,,,,,0.0,,
195,NCGC00159346-04,DOMXUEMWDBAQBQ-WEVVVXLNSA-N,NCGC00159346-04,195,training,3.0,,,,,,,,,,0.0,,
196,NCGC00166086-03,QNIVIMYXGGFTAK-UHFFFAOYSA-N,NCGC00166086-03,196,training,,,,,,,,,,,0.0,,
197,NCGC00018139-07,SFBODOKJTYAUCM-UHFFFAOYSA-N,NCGC00018139-07,197,training,,,,,,,,,,,0.0,,
